"Time","Z"
1773208560000,87551
1773208560010,87498
1773208560020,88904
1773208560030,90920
1773208560040,88316
1773208560050,86296
1773208560060,85007
1773208560070,86883
1773208560080,88534
1773208560090,87841
1773208560100,84386
1773208560110,84949
1773208560120,85140
1773208560130,85547
1773208560140,87334
1773208560150,89803
1773208560160,88845
1773208560170,92776
1773208560180,94604
1773208560190,92511
1773208560200,86550
1773208560210,86179
1773208560220,85000
1773208560230,80736
1773208560240,79809
1773208560250,80144
1773208560260,76633
1773208560270,76338
1773208560280,78431
1773208560290,86439
1773208560300,89597
1773208560310,89720
1773208560320,85620
1773208560330,83711
1773208560340,80747
1773208560350,78329
1773208560360,72484
1773208560370,74482
1773208560380,78022
1773208560390,83705
1773208560400,84537
1773208560410,83811
1773208560420,82541
1773208560430,80706
1773208560440,76707
1773208560450,75505
1773208560460,69799
1773208560470,70966
1773208560480,73859
1773208560490,76902
1773208560500,80162
1773208560510,84178
1773208560520,81426
1773208560530,79218
1773208560540,73829
1773208560550,70143
1773208560560,73837
1773208560570,86481
1773208560580,89660
1773208560590,91873
1773208560600,85390
1773208560610,74732
1773208560620,62861
1773208560630,61392
1773208560640,60807
1773208560650,62512
1773208560660,64166
1773208560670,67773
1773208560680,70338
1773208560690,71221
1773208560700,68729
1773208560710,71039
1773208560720,71629
1773208560730,69435
1773208560740,66784
1773208560750,64929
1773208560760,61394
1773208560770,61354
1773208560780,61728
1773208560790,68249
1773208560800,69095
1773208560810,68329
1773208560820,66000
1773208560830,64795
1773208560840,63893
1773208560850,61965
1773208560860,57712
1773208560870,58190
1773208560880,58803
1773208560890,62621
1773208560900,65479
1773208560910,64899
1773208560920,60798
1773208560930,59615
1773208560940,57827
1773208560950,54750
1773208560960,52454
1773208560970,55607
1773208560980,59898
1773208560990,64050
1773208561000,64718
1773208561010,64395
1773208561020,59033
1773208561030,54460
1773208561040,52196
1773208561050,55494
1773208561060,53000
1773208561070,50344
1773208561080,45928
1773208561090,45520
1773208561100,48510
1773208561110,52540
1773208561120,54164
1773208561130,56987
1773208561140,54275
1773208561150,52941
1773208561160,49678
1773208561170,48052
1773208561180,45147
1773208561190,45682
1773208561200,45254
1773208561210,50175
1773208561220,53991
1773208561230,51712
1773208561240,48141
1773208561250,45901
1773208561260,42522
1773208561270,43926
1773208561280,43735
1773208561290,41794
1773208561300,41395
1773208561310,42531
1773208561320,42549
1773208561330,44278
1773208561340,41826
1773208561350,39457
1773208561360,35570
1773208561370,36443
1773208561380,37174
1773208561390,37671
1773208561400,37770
1773208561410,41154
1773208561420,42165
1773208561430,42842
1773208561440,41301
1773208561450,39215
1773208561460,35198
1773208561470,35233
1773208561480,34271
1773208561490,35013
1773208561500,34147
1773208561510,33224
1773208561520,29656
1773208561530,28524
1773208561540,26737
1773208561550,27349
1773208561560,27669
1773208561570,30124
1773208561580,32905
1773208561590,34740
1773208561600,33285
1773208561610,31937
1773208561620,28544
1773208561630,24699
1773208561640,20188
1773208561650,20325
1773208561660,23247
1773208561670,28029
1773208561680,28964
1773208561690,30264
1773208561700,27789
1773208561710,25777
1773208561720,20287
1773208561730,16628
1773208561740,14569
1773208561750,17743
1773208561760,22479
1773208561770,26084
1773208561780,22580
1773208561790,19066
1773208561800,17826
1773208561810,17827
1773208561820,16309
1773208561830,16772
1773208561840,16432
1773208561850,17372
1773208561860,15612
1773208561870,14950
1773208561880,15699
1773208561890,15791
1773208561900,12892
1773208561910,13152
1773208561920,10816
1773208561930,10783
1773208561940,12555
1773208561950,17442
1773208561960,20556
1773208561970,19343
1773208561980,14427
1773208561990,9317
1773208562000,3186
1773208562010,3984
1773208562020,3980
1773208562030,6926
1773208562040,7911
1773208562050,9085
1773208562060,8747
1773208562070,8541
1773208562080,3501
1773208562090,-580
1773208562100,-2378
1773208562110,-390
1773208562120,37
1773208562130,1183
1773208562140,2064
1773208562150,4540
1773208562160,3625
1773208562170,2325
1773208562180,-1091
1773208562190,-2818
1773208562200,-6179
1773208562210,-3514
1773208562220,454
1773208562230,3163
1773208562240,-725
1773208562250,-4285
1773208562260,-6745
1773208562270,-6316
1773208562280,-7208
1773208562290,-7255
1773208562300,-8280
1773208562310,-5978
1773208562320,-4555
1773208562330,-3804
1773208562340,-4032
1773208562350,-4354
1773208562360,-7340
1773208562370,-7987
1773208562380,-8807
1773208562390,-8939
1773208562400,-11893
1773208562410,-13546
1773208562420,-15762
1773208562430,-14891
1773208562440,-13710
1773208562450,-11295
1773208562460,-11972
1773208562470,-11979
1773208562480,-14019
1773208562490,-15215
1773208562500,-15623
1773208562510,-14667
1773208562520,-16370
1773208562530,-17483
1773208562540,-18711
1773208562550,-18960
1773208562560,-22166
1773208562570,-23416
1773208562580,-22957
1773208562590,-18930
1773208562600,-16633
1773208562610,-14450
1773208562620,-14533
1773208562630,-17604
1773208562640,-22185
1773208562650,-25317
1773208562660,-29028
1773208562670,-27797
1773208562680,-26352
1773208562690,-21597
1773208562700,-20461
1773208562710,-22386
1773208562720,-24464
1773208562730,-25574
1773208562740,-28006
1773208562750,-26011
1773208562760,-26148
1773208562770,-27210
1773208562780,-27632
1773208562790,-26478
1773208562800,-29549
1773208562810,-31291
1773208562820,-31537
1773208562830,-27904
1773208562840,-27289
1773208562850,-29410
1773208562860,-32654
1773208562870,-32058
1773208562880,-31438
1773208562890,-32896
1773208562900,-37238
1773208562910,-37252
1773208562920,-35527
1773208562930,-31196
1773208562940,-27634
1773208562950,-25827
1773208562960,-30980
1773208562970,-40779
1773208562980,-50206
1773208562990,-51510
1773208563000,-47499
1773208563010,-39052
1773208563020,-32078
1773208563030,-27758
1773208563040,-20888
1773208563050,-20750
1773208563060,-31387
1773208563070,-38254
1773208563080,-39805
1773208563090,-47796
1773208563100,-53942
1773208563110,-52616
1773208563120,-49517
1773208563130,-44936
1773208563140,-42437
1773208563150,-41021
1773208563160,-40859
1773208563170,-35451
1773208563180,-30975
1773208563190,-30354
1773208563200,-37899
1773208563210,-46642
1773208563220,-54508
1773208563230,-57131
1773208563240,-53019
1773208563250,-43479
1773208563260,-40541
1773208563270,-42339
1773208563280,-47216
1773208563290,-48065
1773208563300,-46956
1773208563310,-46679
1773208563320,-50576
1773208563330,-52127
1773208563340,-52124
1773208563350,-51052
1773208563360,-51066
1773208563370,-46707
1773208563380,-43442
1773208563390,-43181
1773208563400,-45092
1773208563410,-47324
1773208563420,-53451
1773208563430,-54738
1773208563440,-55354
1773208563450,-54802
1773208563460,-54154
1773208563470,-53671
1773208563480,-52913
1773208563490,-50106
1773208563500,-48733
1773208563510,-45962
1773208563520,-48579
1773208563530,-50811
1773208563540,-55183
1773208563550,-58739
1773208563560,-62041
1773208563570,-61443
1773208563580,-59242
1773208563590,-54475
1773208563600,-52055
1773208563610,-49214
1773208563620,-48084
1773208563630,-48721
1773208563640,-54203
1773208563650,-58409
1773208563660,-62032
1773208563670,-62433
1773208563680,-60924
1773208563690,-57739
1773208563700,-56595
1773208563710,-55351
1773208563720,-55691
1773208563730,-55024
1773208563740,-55769
1773208563750,-56701
1773208563760,-59122
1773208563770,-60332
1773208563780,-61147
1773208563790,-59909
1773208563800,-61249
1773208563810,-61158
1773208563820,-62494
1773208563830,-63377
1773208563840,-62762
1773208563850,-59232
1773208563860,-55432
1773208563870,-52786
1773208563880,-56877
1773208563890,-60877
1773208563900,-61736
1773208563910,-60375
1773208563920,-62158
1773208563930,-65131
1773208563940,-65008
1773208563950,-62604
1773208563960,-61822
1773208563970,-59996
1773208563980,-59392
1773208563990,-58737
1773208564000,-59166
1773208564010,-58254
1773208564020,-58164
1773208564030,-59439
1773208564040,-64691
1773208564050,-67801
1773208564060,-67608
1773208564070,-64742
1773208564080,-63434
1773208564090,-62725
1773208564100,-62503
1773208564110,-61522
1773208564120,-59028
1773208564130,-57762
1773208564140,-59472
1773208564150,-60756
1773208564160,-64605
1773208564170,-66288
1773208564180,-69348
1773208564190,-70379
1773208564200,-70535
1773208564210,-66707
1773208564220,-60803
1773208564230,-58029
1773208564240,-59450
1773208564250,-60468
1773208564260,-64464
1773208564270,-65451
1773208564280,-64107
1773208564290,-61786
1773208564300,-61595
1773208564310,-62278
1773208564320,-65654
1773208564330,-66113
1773208564340,-68495
1773208564350,-68678
1773208564360,-66004
1773208564370,-59290
1773208564380,-57851
1773208564390,-59140
1773208564400,-61451
1773208564410,-63556
1773208564420,-64333
1773208564430,-62641
1773208564440,-62264
1773208564450,-63472
1773208564460,-65621
1773208564470,-64691
1773208564480,-66806
1773208564490,-67992
1773208564500,-68390
1773208564510,-63863
1773208564520,-60616
1773208564530,-58667
1773208564540,-61749
1773208564550,-63045
1773208564560,-64657
1773208564570,-65855
1773208564580,-66839
1773208564590,-65916
1773208564600,-64521
1773208564610,-62712
1773208564620,-60278
1773208564630,-57584
1773208564640,-60093
1773208564650,-63843
1773208564660,-66189
1773208564670,-65354
1773208564680,-64295
1773208564690,-61669
1773208564700,-61790
1773208564710,-62847
1773208564720,-63905
1773208564730,-64534
1773208564740,-66772
1773208564750,-64833
1773208564760,-61410
1773208564770,-59299
1773208564780,-57537
