"Time","Z"
1773208910000,442722
1773208910010,448883
1773208910020,455781
1773208910030,456784
1773208910040,461168
1773208910050,464595
1773208910060,468767
1773208910070,469596
1773208910080,467781
1773208910090,462646
1773208910100,462886
1773208910110,463031
1773208910120,467168
1773208910130,469841
1773208910140,469538
1773208910150,471750
1773208910160,474743
1773208910170,472303
1773208910180,472328
1773208910190,468404
1773208910200,468717
1773208910210,468970
1773208910220,467562
1773208910230,469238
1773208910240,475057
1773208910250,476123
1773208910260,476728
1773208910270,476766
1773208910280,475901
1773208910290,471941
1773208910300,467682
1773208910310,463764
1773208910320,466041
1773208910330,467172
1773208910340,468461
1773208910350,467191
1773208910360,470168
1773208910370,467137
1773208910380,473217
1773208910390,480938
1773208910400,480340
1773208910410,470385
1773208910420,458945
1773208910430,444521
1773208910440,435944
1773208910450,437715
1773208910460,441996
1773208910470,445872
1773208910480,454717
1773208910490,455439
1773208910500,450975
1773208910510,443683
1773208910520,436965
1773208910530,434051
1773208910540,436586
1773208910550,436969
1773208910560,434644
1773208910570,432197
1773208910580,434436
1773208910590,434678
1773208910600,428241
1773208910610,418216
1773208910620,412817
1773208910630,411525
1773208910640,410868
1773208910650,407963
1773208910660,405645
1773208910670,404398
1773208910680,406230
1773208910690,404830
1773208910700,403371
1773208910710,395082
1773208910720,388519
1773208910730,384168
1773208910740,377472
1773208910750,373534
1773208910760,376769
1773208910770,379103
1773208910780,376948
1773208910790,373102
1773208910800,369140
1773208910810,365924
1773208910820,360858
1773208910830,353419
1773208910840,349773
1773208910850,343375
1773208910860,337542
1773208910870,333773
1773208910880,333979
1773208910890,331211
1773208910900,326608
1773208910910,319528
1773208910920,315941
1773208910930,311365
1773208910940,309429
1773208910950,306954
1773208910960,304029
1773208910970,295380
1773208910980,288298
1773208910990,285223
1773208911000,283405
1773208911010,278504
1773208911020,277351
1773208911030,272048
1773208911040,265188
1773208911050,258540
1773208911060,255299
1773208911070,250631
1773208911080,247861
1773208911090,244247
1773208911100,242362
1773208911110,236799
1773208911120,228865
1773208911130,217401
1773208911140,208865
1773208911150,203530
1773208911160,203116
1773208911170,201479
1773208911180,198253
1773208911190,191049
1773208911200,184705
1773208911210,178298
1773208911220,169787
1773208911230,160903
1773208911240,159431
1773208911250,158006
1773208911260,155885
1773208911270,150703
1773208911280,146980
1773208911290,141038
1773208911300,134623
1773208911310,126780
1773208911320,120461
1773208911330,114340
1773208911340,108648
1773208911350,100165
1773208911360,95037
1773208911370,92198
1773208911380,88983
1773208911390,81936
1773208911400,76858
1773208911410,69096
1773208911420,61373
1773208911430,52604
1773208911440,46045
1773208911450,42109
1773208911460,41707
