"Time","Z"
1773209807000,3144388
1773209807010,1932538
1773209807020,594449
1773209807030,-789910
1773209807040,-2129957
1773209807050,-3320694
1773209807060,-4288495
1773209807070,-4982983
1773209807080,-5371025
1773209807090,-5426112
1773209807100,-5147055
1773209807110,-4540132
1773209807120,-3647910
1773209807130,-2521486
1773209807140,-1235094
1773209807150,135284
1773209807160,1511150
1773209807170,2789399
1773209807180,3871618
1773209807190,4699667
1773209807200,5237798
1773209807210,5462034
1773209807220,5349759
1773209807230,4908693
1773209807240,4157040
1773209807250,3143440
1773209807260,1929058
1773209807270,591225
1773209807280,-794543
1773209807290,-2131566
1773209807300,-3321715
1773209807310,-4286046
1773209807320,-4979661
1773209807330,-5366928
1773209807340,-5424017
1773209807350,-5144821
1773209807360,-4541630
1773209807370,-3647847
1773209807380,-2521520
1773209807390,-1233276
1773209807400,135492
1773209807410,1511697
1773209807420,2788924
1773209807430,3871505
1773209807440,4696946
1773209807450,5236067
1773209807460,5458822
1773209807470,5348024
1773209807480,4906135
1773209807490,4156488
1773209807500,3142325
1773209807510,1930668
1773209807520,592721
1773209807530,-792018
1773209807540,-2129628
1773209807550,-3319365
1773209807560,-4287129
1773209807570,-4979952
1773209807580,-5368752
1773209807590,-5424269
1773209807600,-5144979
1773209807610,-4540417
1773209807620,-3648087
1773209807630,-2521011
1773209807640,-1235069
1773209807650,135078
1773209807660,1511191
1773209807670,2789855
1773209807680,3870174
1773209807690,4696471
1773209807700,5234516
1773209807710,5458518
1773209807720,5347410
1773209807730,4907899
1773209807740,4158095
1773209807750,3145355
1773209807760,1929787
1773209807770,591258
1773209807780,-795617
1773209807790,-2132908
1773209807800,-3322127
1773209807810,-4286056
1773209807820,-4978120
1773209807830,-5364460
1773209807840,-5422434
1773209807850,-5143057
1773209807860,-4540662
1773209807870,-3647928
1773209807880,-2521887
1773209807890,-1234581
1773209807900,135190
1773209807910,1512530
1773209807920,2790025
1773209807930,3872452
1773209807940,4697153
1773209807950,5236623
1773209807960,5458286
1773209807970,5346500
1773209807980,4906070
1773209807990,4157274
1773209808000,3143755
1773209808010,1931357
1773209808020,593008
1773209808030,-791917
1773209808040,-2131855
1773209808050,-3321332
1773209808060,-4288854
1773209808070,-4982359
1773209808080,-5368465
1773209808090,-5423145
1773209808100,-5144173
1773209808110,-4538248
1773209808120,-3645570
