"Time","Z"
1773209893000,2232512
1773209893010,4220939
1773209893020,5158018
1773209893030,4841766
1773209893040,3336275
1773209893050,1004384
1773209893060,-1585858
1773209893070,-3767654
1773209893080,-5000741
1773209893090,-5012491
1773209893100,-3784687
1773209893110,-1609907
1773209893120,983872
1773209893130,3333850
1773209893140,4837237
1773209893150,5159889
1773209893160,4222580
1773209893170,2241776
1773209893180,-297975
1773209893190,-2765627
1773209893200,-4525114
1773209893210,-5167593
1773209893220,-4542969
1773209893230,-2788295
1773209893240,-328226
1773209893250,2231461
1773209893260,4218626
1773209893270,5156585
1773209893280,4842660
1773209893290,3336208
1773209893300,1005528
1773209893310,-1582582
1773209893320,-3765801
1773209893330,-5001563
1773209893340,-5014737
1773209893350,-3787791
1773209893360,-1611810
1773209893370,983022
1773209893380,3334533
1773209893390,4838534
1773209893400,5160297
1773209893410,4221413
1773209893420,2239540
1773209893430,-300438
1773209893440,-2767300
1773209893450,-4526356
1773209893460,-5166869
1773209893470,-4540051
1773209893480,-2784112
1773209893490,-323964
1773209893500,2234952
1773209893510,4219878
1773209893520,5155990
1773209893530,4840602
1773209893540,3333952
1773209893550,1003444
1773209893560,-1583729
1773209893570,-3765683
1773209893580,-5000048
1773209893590,-5012215
1773209893600,-3784820
1773209893610,-1609920
1773209893620,984009
1773209893630,3333705
1773209893640,4836644
1773209893650,5158202
1773209893660,4220122
1773209893670,2239555
1773209893680,-299178
1773209893690,-2766211
1773209893700,-4524462
1773209893710,-5166861
1773209893720,-4542282
1773209893730,-2786416
1773209893740,-327525
1773209893750,2231056
1773209893760,4219268
1773209893770,5156115
1773209893780,4841066
1773209893790,3334962
1773209893800,1003904
1773209893810,-1584120
1773209893820,-3765151
1773209893830,-4999153
1773209893840,-5010808
1773209893850,-3783619
1773209893860,-1608572
1773209893870,984427
1773209893880,3334443
1773209893890,4837524
1773209893900,5158903
1773209893910,4221271
1773209893920,2241835
1773209893930,-298414
1773209893940,-2765165
1773209893950,-4524007
1773209893960,-5167490
1773209893970,-4543965
1773209893980,-2787772
1773209893990,-328881
1773209894000,2230495
1773209894010,4218324
1773209894020,5155088
1773209894030,4839596
1773209894040,3336156
1773209894050,1005480
1773209894060,-1582877
1773209894070,-3764566
1773209894080,-4999704
1773209894090,-5013158
1773209894100,-3785703
1773209894110,-1612470
1773209894120,980674
1773209894130,3331352
1773209894140,4835827
1773209894150,5157932
1773209894160,4222024
1773209894170,2242607
1773209894180,-297013
1773209894190,-2764973
1773209894200,-4524548
1773209894210,-5168169
1773209894220,-4543411
1773209894230,-2787978
1773209894240,-327792
1773209894250,2232019
1773209894260,4220207
1773209894270,5158165
1773209894280,4843776
1773209894290,3337895
1773209894300,1006413
1773209894310,-1583315
1773209894320,-3766280
1773209894330,-5001580
1773209894340,-5013813
1773209894350,-3786398
1773209894360,-1611004
1773209894370,984114
1773209894380,3334601
1773209894390,4837049
1773209894400,5158334
1773209894410,4219544
1773209894420,2239322
1773209894430,-299807
1773209894440,-2766171
1773209894450,-4524341
1773209894460,-5166356
1773209894470,-4543038
1773209894480,-2788040
1773209894490,-328488
1773209894500,2230755
1773209894510,4218215
1773209894520,5157594
1773209894530,4843473
1773209894540,3337414
1773209894550,1006474
1773209894560,-1582316
1773209894570,-3766353
1773209894580,-5000825
1773209894590,-5013591
1773209894600,-3786777
1773209894610,-1611844
1773209894620,983413
1773209894630,3332890
1773209894640,4837004
1773209894650,5159891
1773209894660,4222326
1773209894670,2241322
1773209894680,-297638
1773209894690,-2766346
1773209894700,-4524150
1773209894710,-5166399
1773209894720,-4542924
1773209894730,-2787152
1773209894740,-326273
1773209894750,2232166
1773209894760,4219887
1773209894770,5157335
1773209894780,4842757
1773209894790,3335445
1773209894800,1004140
1773209894810,-1584780
1773209894820,-3766223
1773209894830,-5000138
1773209894840,-5011868
1773209894850,-3784744
1773209894860,-1609896
1773209894870,981990
1773209894880,3332174
1773209894890,4835589
1773209894900,5157824
1773209894910,4221294
1773209894920,2243299
1773209894930,-295985
1773209894940,-2763613
1773209894950,-4522995
1773209894960,-5166785
1773209894970,-4544598
1773209894980,-2788548
1773209894990,-329568
1773209895000,2228566
1773209895010,4216882
1773209895020,5156119
1773209895030,4841919
1773209895040,3337474
1773209895050,1007086
1773209895060,-1581564
1773209895070,-3764621
1773209895080,-5000276
1773209895090,-5013983
1773209895100,-3785962
1773209895110,-1610559
1773209895120,984790
1773209895130,3336335
1773209895140,4839725
1773209895150,5160314
1773209895160,4222125
1773209895170,2240354
1773209895180,-298922
1773209895190,-2766071
1773209895200,-4524929
1773209895210,-5167188
1773209895220,-4543170
1773209895230,-2788231
1773209895240,-327668
1773209895250,2229824
1773209895260,4217691
1773209895270,5155920
1773209895280,4842359
1773209895290,3336610
1773209895300,1006633
1773209895310,-1581760
1773209895320,-3763485
1773209895330,-4999532
1773209895340,-5012803
1773209895350,-3787739
1773209895360,-1613164
1773209895370,981019
1773209895380,3332979
1773209895390,4837162
1773209895400,5160690
1773209895410,4222929
1773209895420,2243210
1773209895430,-296305
1773209895440,-2763741
1773209895450,-4524535
1773209895460,-5166518
1773209895470,-4544704
1773209895480,-2790761
1773209895490,-330321
1773209895500,2229234
1773209895510,4216454
1773209895520,5157509
1773209895530,4843808
1773209895540,3337623
1773209895550,1006323
1773209895560,-1581396
1773209895570,-3765356
1773209895580,-5000777
1773209895590,-5013691
1773209895600,-3787467
1773209895610,-1613243
1773209895620,983006
1773209895630,3334465
1773209895640,4837840
1773209895650,5159737
1773209895660,4222345
1773209895670,2241335
1773209895680,-296898
1773209895690,-2764008
1773209895700,-4522793
1773209895710,-5166335
1773209895720,-4544120
1773209895730,-2789811
1773209895740,-329813
1773209895750,2228676
1773209895760,4217912
1773209895770,5156841
1773209895780,4843097
1773209895790,3337910
1773209895800,1007360
1773209895810,-1581937
1773209895820,-3763790
1773209895830,-4999452
1773209895840,-5012991
1773209895850,-3786995
1773209895860,-1612354
1773209895870,981164
1773209895880,3332746
1773209895890,4836603
1773209895900,5158585
1773209895910,4220848
1773209895920,2241977
1773209895930,-298019
1773209895940,-2764217
1773209895950,-4523513
1773209895960,-5165902
1773209895970,-4543946
1773209895980,-2788917
1773209895990,-328892
1773209896000,2231130
1773209896010,4218222
1773209896020,5157670
1773209896030,4843203
1773209896040,3339324
1773209896050,1007590
1773209896060,-1582072
1773209896070,-3765790
1773209896080,-4999962
1773209896090,-5012936
1773209896100,-3784302
1773209896110,-1610867
1773209896120,982708
1773209896130,3332600
1773209896140,4836474
1773209896150,5158022
1773209896160,4222463
1773209896170,2242573
1773209896180,-297582
1773209896190,-2767098
1773209896200,-4525539
1773209896210,-5168113
1773209896220,-4542942
1773209896230,-2787819
1773209896240,-327150
1773209896250,2231530
1773209896260,4218728
1773209896270,5156600
1773209896280,4843250
1773209896290,3337152
1773209896300,1006118
1773209896310,-1583874
1773209896320,-3766229
1773209896330,-5000626
1773209896340,-5012721
1773209896350,-3786710
1773209896360,-1612773
1773209896370,980985
1773209896380,3331958
1773209896390,4835806
1773209896400,5160264
1773209896410,4223426
1773209896420,2243043
1773209896430,-296429
1773209896440,-2763658
1773209896450,-4523404
1773209896460,-5165714
1773209896470,-4543748
1773209896480,-2788574
1773209896490,-327455
1773209896500,2231720
1773209896510,4218389
1773209896520,5158043
1773209896530,4843593
1773209896540,3336502
1773209896550,1005035
1773209896560,-1582110
1773209896570,-3764620
1773209896580,-4998830
1773209896590,-5013078
1773209896600,-3787974
1773209896610,-1615158
1773209896620,979795
1773209896630,3330426
1773209896640,4835358
1773209896650,5159109
1773209896660,4224124
1773209896670,2244190
1773209896680,-293255
1773209896690,-2762058
1773209896700,-4522702
1773209896710,-5167555
1773209896720,-4546471
1773209896730,-2792748
1773209896740,-329637
1773209896750,2229398
1773209896760,4218555
1773209896770,5158037
1773209896780,4845117
1773209896790,3337209
1773209896800,1006150
1773209896810,-1584058
1773209896820,-3766890
1773209896830,-5001436
1773209896840,-5012310
1773209896850,-3785478
1773209896860,-1608957
1773209896870,983538
1773209896880,3333217
1773209896890,4835475
1773209896900,5158144
1773209896910,4220894
1773209896920,2242698
1773209896930,-295527
1773209896940,-2760297
1773209896950,-4520113
1773209896960,-5164722
1773209896970,-4544433
1773209896980,-2790918
1773209896990,-332621
1773209897000,2227965
1773209897010,4215738
1773209897020,5155073
1773209897030,4842980
1773209897040,3339567
1773209897050,1007681
1773209897060,-1582250
1773209897070,-3765377
1773209897080,-4999427
1773209897090,-5013557
1773209897100,-3785947
1773209897110,-1611655
1773209897120,981521
1773209897130,3331542
1773209897140,4836552
1773209897150,5158827
1773209897160,4222823
1773209897170,2243005
1773209897180,-297042
1773209897190,-2765727
1773209897200,-4523343
1773209897210,-5165766
1773209897220,-4541237
1773209897230,-2787197
1773209897240,-327999
1773209897250,2228819
1773209897260,4215494
1773209897270,5154042
1773209897280,4842459
1773209897290,3337801
1773209897300,1007213
1773209897310,-1582822
1773209897320,-3764663
1773209897330,-5000439
1773209897340,-5012803
1773209897350,-3786371
1773209897360,-1611513
1773209897370,981658
1773209897380,3332338
1773209897390,4835641
1773209897400,5159335
1773209897410,4221332
1773209897420,2242858
1773209897430,-296474
1773209897440,-2763438
1773209897450,-4523961
1773209897460,-5166057
1773209897470,-4543016
1773209897480,-2787643
1773209897490,-328388
1773209897500,2230503
1773209897510,4215813
1773209897520,5156830
1773209897530,4843715
1773209897540,3338116
1773209897550,1006011
1773209897560,-1583082
1773209897570,-3767679
1773209897580,-5001550
1773209897590,-5013808
1773209897600,-3785538
1773209897610,-1612201
1773209897620,982231
1773209897630,3332025
1773209897640,4836753
1773209897650,5159867
1773209897660,4223549
1773209897670,2242742
1773209897680,-295677
1773209897690,-2765698
1773209897700,-4525211
1773209897710,-5168159
1773209897720,-4543088
1773209897730,-2788804
1773209897740,-328541
1773209897750,2229923
1773209897760,4217176
1773209897770,5155610
1773209897780,4843220
1773209897790,3337513
1773209897800,1008565
1773209897810,-1579539
1773209897820,-3761698
1773209897830,-4998271
1773209897840,-5012648
1773209897850,-3788197
1773209897860,-1614678
1773209897870,978038
1773209897880,3330422
1773209897890,4836383
1773209897900,5162129
1773209897910,4225106
1773209897920,2246120
1773209897930,-294051
1773209897940,-2763090
1773209897950,-4524746
1773209897960,-5167907
1773209897970,-4545374
1773209897980,-2790326
1773209897990,-331512
1773209898000,2228620
1773209898010,4215628
1773209898020,5155403
1773209898030,4841775
1773209898040,3336969
1773209898050,1006014
1773209898060,-1581064
1773209898070,-3763423
1773209898080,-4997808
1773209898090,-5012594
1773209898100,-3786111
1773209898110,-1613642
1773209898120,980135
1773209898130,3331566
1773209898140,4837455
1773209898150,5160049
1773209898160,4224882
1773209898170,2244615
1773209898180,-294674
1773209898190,-2763697
1773209898200,-4522556
1773209898210,-5166950
1773209898220,-4542974
1773209898230,-2788291
1773209898240,-328688
1773209898250,2229379
1773209898260,4217792
1773209898270,5154563
1773209898280,4841508
1773209898290,3336223
1773209898300,1007104
1773209898310,-1582018
1773209898320,-3763376
1773209898330,-4998377
1773209898340,-5011474
1773209898350,-3787441
1773209898360,-1614292
1773209898370,977827
1773209898380,3329968
1773209898390,4834865
1773209898400,5159766
1773209898410,4223716
1773209898420,2245823
1773209898430,-295051
1773209898440,-2764155
1773209898450,-4524528
1773209898460,-5166188
1773209898470,-4542557
1773209898480,-2786772
1773209898490,-328664
1773209898500,2230959
1773209898510,4218002
1773209898520,5156541
1773209898530,4842831
1773209898540,3338460
1773209898550,1006410
1773209898560,-1582384
1773209898570,-3765483
1773209898580,-4998718
1773209898590,-5011931
1773209898600,-3785436
1773209898610,-1612951
1773209898620,980348
1773209898630,3329670
1773209898640,4834391
1773209898650,5157815
1773209898660,4223411
1773209898670,2243738
1773209898680,-295678
1773209898690,-2766437
1773209898700,-4525643
1773209898710,-5167498
1773209898720,-4542473
1773209898730,-2788271
1773209898740,-326888
1773209898750,2230671
1773209898760,4217184
1773209898770,5155400
1773209898780,4843093
1773209898790,3337085
1773209898800,1007723
1773209898810,-1581258
1773209898820,-3763506
1773209898830,-4999367
1773209898840,-5011860
1773209898850,-3787615
1773209898860,-1613702
1773209898870,979398
1773209898880,3331029
1773209898890,4835463
1773209898900,5160523
1773209898910,4223842
1773209898920,2245411
1773209898930,-295532
1773209898940,-2764363
1773209898950,-4524227
1773209898960,-5166365
1773209898970,-4544298
1773209898980,-2788557
1773209898990,-330850
1773209899000,2227582
1773209899010,4215705
1773209899020,5156237
1773209899030,4842742
1773209899040,3339624
1773209899050,1008736
1773209899060,-1580359
1773209899070,-3764217
1773209899080,-4998480
1773209899090,-5013151
1773209899100,-3786716
1773209899110,-1613594
1773209899120,980267
1773209899130,3329868
1773209899140,4834404
1773209899150,5156987
1773209899160,4222292
1773209899170,2243383
1773209899180,-294518
1773209899190,-2761641
1773209899200,-4520349
1773209899210,-5165251
1773209899220,-4542143
1773209899230,-2789246
1773209899240,-330892
1773209899250,2226082
1773209899260,4214853
1773209899270,5154170
1773209899280,4843320
1773209899290,3339538
1773209899300,1010086
1773209899310,-1580818
1773209899320,-3762946
1773209899330,-4998634
1773209899340,-5012029
1773209899350,-3787207
1773209899360,-1613778
1773209899370,978584
1773209899380,3330358
1773209899390,4834484
1773209899400,5159585
1773209899410,4223918
1773209899420,2245856
1773209899430,-294152
1773209899440,-2761725
1773209899450,-4523073
1773209899460,-5167206
1773209899470,-4545255
1773209899480,-2790156
1773209899490,-332187
1773209899500,2228055
1773209899510,4215093
1773209899520,5154501
1773209899530,4841052
1773209899540,3337380
1773209899550,1007327
1773209899560,-1577810
1773209899570,-3759692
1773209899580,-4995688
1773209899590,-5011620
1773209899600,-3786549
1773209899610,-1615345
1773209899620,978152
1773209899630,3328447
1773209899640,4834652
1773209899650,5159182
1773209899660,4224590
1773209899670,2245455
1773209899680,-292972
1773209899690,-2762890
1773209899700,-4522932
1773209899710,-5167900
1773209899720,-4545040
1773209899730,-2790453
1773209899740,-329249
1773209899750,2228838
1773209899760,4217191
1773209899770,5156264
1773209899780,4844112
1773209899790,3338526
1773209899800,1009358
1773209899810,-1580324
1773209899820,-3763364
1773209899830,-4999098
1773209899840,-5013187
1773209899850,-3789445
1773209899860,-1614839
1773209899870,977817
1773209899880,3329486
1773209899890,4834773
1773209899900,5160860
1773209899910,4224290
1773209899920,2245389
1773209899930,-294841
1773209899940,-2762471
1773209899950,-4522645
1773209899960,-5165041
1773209899970,-4544789
1773209899980,-2789724
1773209899990,-331133
1773209900000,2227063
1773209900010,4215121
1773209900020,5156654
1773209900030,4843696
1773209900040,3340378
1773209900050,1008742
1773209900060,-1580738
1773209900070,-3764694
1773209900080,-4998853
1773209900090,-5012929
1773209900100,-3785618
1773209900110,-1612699
1773209900120,980520
1773209900130,3330467
1773209900140,4835979
1773209900150,5158753
1773209900160,4223830
1773209900170,2243587
1773209900180,-296018
1773209900190,-2765469
1773209900200,-4523519
1773209900210,-5166715
1773209900220,-4542363
1773209900230,-2787928
1773209900240,-329224
1773209900250,2227724
1773209900260,4215625
1773209900270,5153795
1773209900280,4842638
1773209900290,3338379
1773209900300,1008430
1773209900310,-1581225
1773209900320,-3763334
1773209900330,-4999030
1773209900340,-5011932
1773209900350,-3786453
1773209900360,-1612505
1773209900370,979287
1773209900380,3329974
1773209900390,4834395
1773209900400,5159768
1773209900410,4224648
1773209900420,2246988
1773209900430,-292844
1773209900440,-2761107
1773209900450,-4522555
1773209900460,-5166071
1773209900470,-4544497
1773209900480,-2789828
1773209900490,-330713
1773209900500,2227788
1773209900510,4214449
1773209900520,5155897
1773209900530,4842930
1773209900540,3338551
1773209900550,1008147
1773209900560,-1579166
1773209900570,-3763115
1773209900580,-4998887
1773209900590,-5014212
1773209900600,-3787919
1773209900610,-1615045
1773209900620,978556
1773209900630,3327944
1773209900640,4834115
1773209900650,5158045
1773209900660,4223409
1773209900670,2244629
1773209900680,-292022
1773209900690,-2759643
1773209900700,-4519658
1773209900710,-5166249
1773209900720,-4544354
1773209900730,-2792194
1773209900740,-331597
1773209900750,2226317
1773209900760,4214795
1773209900770,5155426
1773209900780,4844514
1773209900790,3338091
1773209900800,1010547
1773209900810,-1577281
1773209900820,-3760923
1773209900830,-4999189
1773209900840,-5014412
1773209900850,-3791631
1773209900860,-1617007
1773209900870,977590
1773209900880,3330442
1773209900890,4836542
1773209900900,5162885
1773209900910,4225144
1773209900920,2246524
1773209900930,-292825
1773209900940,-2761058
1773209900950,-4522781
1773209900960,-5167091
1773209900970,-4546882
1773209900980,-2792042
1773209900990,-332764
1773209901000,2226723
1773209901010,4215152
1773209901020,5156312
1773209901030,4843926
1773209901040,3340581
1773209901050,1010405
1773209901060,-1577655
1773209901070,-3761794
1773209901080,-4997860
1773209901090,-5013289
1773209901100,-3787812
1773209901110,-1615757
1773209901120,977947
1773209901130,3328823
1773209901140,4834588
1773209901150,5159290
1773209901160,4224982
1773209901170,2245410
1773209901180,-294319
1773209901190,-2765354
1773209901200,-4524211
1773209901210,-5167214
1773209901220,-4543441
1773209901230,-2789101
1773209901240,-329370
1773209901250,2227958
1773209901260,4214964
1773209901270,5153975
1773209901280,4844531
1773209901290,3340029
1773209901300,1010380
1773209901310,-1579132
1773209901320,-3761762
1773209901330,-4998312
1773209901340,-5011635
1773209901350,-3787107
1773209901360,-1614192
1773209901370,977249
1773209901380,3329255
1773209901390,4833263
1773209901400,5159604
1773209901410,4224740
1773209901420,2246102
1773209901430,-294965
1773209901440,-2763765
1773209901450,-4524825
1773209901460,-5166651
1773209901470,-4544742
1773209901480,-2789912
1773209901490,-331284
1773209901500,2228946
1773209901510,4214937
1773209901520,5155271
1773209901530,4843485
1773209901540,3340313
1773209901550,1009441
1773209901560,-1578812
1773209901570,-3763700
1773209901580,-4998513
1773209901590,-5012552
1773209901600,-3785586
1773209901610,-1613571
1773209901620,979507
1773209901630,3328675
1773209901640,4833612
1773209901650,5157861
1773209901660,4223901
1773209901670,2244854
1773209901680,-292845
1773209901690,-2761692
1773209901700,-4521601
1773209901710,-5167156
1773209901720,-4545553
1773209901730,-2792031
1773209901740,-331958
1773209901750,2225488
1773209901760,4213975
1773209901770,5155656
1773209901780,4845846
1773209901790,3340824
1773209901800,1012203
1773209901810,-1576990
1773209901820,-3761718
1773209901830,-4999357
1773209901840,-5014287
1773209901850,-3790874
1773209901860,-1616428
1773209901870,977294
1773209901880,3329104
1773209901890,4835077
1773209901900,5161482
1773209901910,4224863
1773209901920,2245602
1773209901930,-294288
1773209901940,-2762917
1773209901950,-4523727
1773209901960,-5166325
1773209901970,-4545102
1773209901980,-2790780
1773209901990,-332406
1773209902000,2226950
1773209902010,4213695
1773209902020,5155126
1773209902030,4844358
1773209902040,3341103
1773209902050,1010448
1773209902060,-1574918
1773209902070,-3759029
1773209902080,-4997706
1773209902090,-5015295
1773209902100,-3790244
1773209902110,-1618149
1773209902120,976132
1773209902130,3327303
1773209902140,4834742
1773209902150,5159840
1773209902160,4225927
1773209902170,2246128
1773209902180,-291427
1773209902190,-2759849
1773209902200,-4520324
1773209902210,-5167110
1773209902220,-4545370
1773209902230,-2791965
1773209902240,-331716
1773209902250,2226468
1773209902260,4215907
1773209902270,5154418
1773209902280,4843721
1773209902290,3340278
1773209902300,1010582
1773209902310,-1579880
1773209902320,-3762287
1773209902330,-4998963
1773209902340,-5012039
1773209902350,-3787073
1773209902360,-1614909
1773209902370,976205
1773209902380,3328019
1773209902390,4832958
1773209902400,5159078
1773209902410,4224506
1773209902420,2247666
1773209902430,-290828
1773209902440,-2758522
1773209902450,-4521463
1773209902460,-5167455
1773209902470,-4547175
1773209902480,-2793571
1773209902490,-334837
1773209902500,2226256
1773209902510,4214908
1773209902520,5156772
1773209902530,4845727
1773209902540,3342539
1773209902550,1011407
1773209902560,-1578636
1773209902570,-3764229
1773209902580,-4999919
1773209902590,-5014107
1773209902600,-3786892
1773209902610,-1614631
1773209902620,978330
1773209902630,3328253
1773209902640,4834084
1773209902650,5158482
1773209902660,4224210
