"Time","Z"
1773210962000,4051999
1773210962010,4188678
1773210962020,4316159
1773210962030,4423654
1773210962040,4523769
1773210962050,4589231
1773210962060,4628178
1773210962070,4655324
1773210962080,4683369
1773210962090,4696624
1773210962100,4692265
1773210962110,4658299
1773210962120,4606063
1773210962130,4530985
1773210962140,4448530
1773210962150,4346777
1773210962160,4232343
1773210962170,4094040
1773210962180,3942744
1773210962190,3771198
1773210962200,3589113
1773210962210,3389849
1773210962220,3183514
1773210962230,2956587
1773210962240,2723085
1773210962250,2473626
1773210962260,2217549
1773210962270,1950646
1773210962280,1683729
1773210962290,1404309
1773210962300,1124346
1773210962310,830123
1773210962320,538952
1773210962330,241627
1773210962340,-50929
1773210962350,-349107
1773210962360,-647507
1773210962370,-946848
1773210962380,-1233142
1773210962390,-1520262
1773210962400,-1799439
1773210962410,-2078301
1773210962420,-2342282
1773210962430,-2600611
1773210962440,-2840587
1773210962450,-3072001
1773210962460,-3284848
1773210962470,-3490179
1773210962480,-3676318
1773210962490,-3851610
1773210962500,-4003678
1773210962510,-4144837
1773210962520,-4267681
1773210962530,-4374548
1773210962540,-4455354
1773210962550,-4525857
1773210962560,-4578382
1773210962570,-4620081
1773210962580,-4633836
1773210962590,-4638793
1773210962600,-4626587
1773210962610,-4602371
1773210962620,-4551024
1773210962630,-4483543
1773210962640,-4396999
1773210962650,-4300503
1773210962660,-4183572
1773210962670,-4051311
1773210962680,-3898042
1773210962690,-3735864
1773210962700,-3554069
1773210962710,-3364365
1773210962720,-3154293
1773210962730,-2930971
1773210962740,-2690146
1773210962750,-2448395
1773210962760,-2194990
1773210962770,-1937560
1773210962780,-1666559
1773210962790,-1392661
1773210962800,-1106743
1773210962810,-822260
1773210962820,-531427
1773210962830,-242481
1773210962840,55607
1773210962850,352390
1773210962860,653103
1773210962870,947018
1773210962880,1241195
1773210962890,1525750
1773210962900,1813256
1773210962910,2088425
1773210962920,2361560
1773210962930,2618902
1773210962940,2868708
1773210962950,3099128
1773210962960,3320895
1773210962970,3525390
1773210962980,3720426
1773210962990,3891566
1773210963000,4050870
1773210963010,4186813
1773210963020,4313978
1773210963030,4422991
1773210963040,4525817
1773210963050,4591122
1773210963060,4628660
1773210963070,4654709
1773210963080,4683097
1773210963090,4695793
1773210963100,4692122
1773210963110,4658146
1773210963120,4605408
1773210963130,4529013
1773210963140,4446014
1773210963150,4346771
1773210963160,4234331
1773210963170,4094829
1773210963180,3943136
1773210963190,3771810
1773210963200,3589221
1773210963210,3388114
1773210963220,3181285
1773210963230,2954869
1773210963240,2722022
1773210963250,2473125
1773210963260,2218811
1773210963270,1952775
1773210963280,1685507
1773210963290,1404265
1773210963300,1120856
1773210963310,827977
1773210963320,539143
1773210963330,242805
1773210963340,-51304
1773210963350,-351978
1773210963360,-648456
1773210963370,-948614
1773210963380,-1234553
1773210963390,-1519749
1773210963400,-1796157
1773210963410,-2073907
1773210963420,-2340841
1773210963430,-2602083
1773210963440,-2840891
1773210963450,-3071794
1773210963460,-3285293
1773210963470,-3489986
1773210963480,-3674911
1773210963490,-3849645
1773210963500,-4002290
1773210963510,-4143858
1773210963520,-4267793
1773210963530,-4374745
1773210963540,-4453083
1773210963550,-4524251
1773210963560,-4578039
1773210963570,-4620193
1773210963580,-4635218
1773210963590,-4640752
1773210963600,-4626158
1773210963610,-4598815
1773210963620,-4548043
1773210963630,-4483449
1773210963640,-4396910
1773210963650,-4300160
1773210963660,-4182618
1773210963670,-4050939
1773210963680,-3896739
1773210963690,-3734257
1773210963700,-3552674
1773210963710,-3361945
1773210963720,-3152662
1773210963730,-2931888
1773210963740,-2691616
1773210963750,-2449105
1773210963760,-2194957
1773210963770,-1938371
1773210963780,-1668576
1773210963790,-1393855
1773210963800,-1106378
1773210963810,-820639
1773210963820,-530492
1773210963830,-243626
1773210963840,54664
1773210963850,352353
1773210963860,654043
1773210963870,947600
1773210963880,1239915
1773210963890,1524579
1773210963900,1812363
1773210963910,2086992
1773210963920,2359779
1773210963930,2616815
1773210963940,2864555
1773210963950,3094202
1773210963960,3317827
1773210963970,3524861
1773210963980,3720297
1773210963990,3890960
1773210964000,4049442
1773210964010,4184852
1773210964020,4311720
1773210964030,4422375
1773210964040,4525216
1773210964050,4591074
1773210964060,4630661
1773210964070,4656300
1773210964080,4683376
1773210964090,4696153
1773210964100,4692052
1773210964110,4657577
1773210964120,4605251
1773210964130,4531009
1773210964140,4447693
1773210964150,4344297
1773210964160,4229674
1773210964170,4093513
1773210964180,3944747
1773210964190,3774109
1773210964200,3591266
1773210964210,3389992
1773210964220,3183613
1773210964230,2957910
1773210964240,2723162
1773210964250,2472337
1773210964260,2218390
1773210964270,1954016
1773210964280,1686384
1773210964290,1404372
1773210964300,1120294
1773210964310,827533
1773210964320,538744
1773210964330,241139
1773210964340,-52617
1773210964350,-352503
1773210964360,-648097
1773210964370,-946679
1773210964380,-1232714
1773210964390,-1518153
1773210964400,-1795881
1773210964410,-2073671
1773210964420,-2340073
1773210964430,-2600266
1773210964440,-2839765
1773210964450,-3071322
1773210964460,-3284071
1773210964470,-3488591
1773210964480,-3674678
1773210964490,-3850027
1773210964500,-4002434
1773210964510,-4143410
1773210964520,-4267074
1773210964530,-4373046
1773210964540,-4449559
1773210964550,-4521075
1773210964560,-4579167
1773210964570,-4625522
1773210964580,-4641462
1773210964590,-4645191
1773210964600,-4630248
1773210964610,-4601339
1773210964620,-4548406
1773210964630,-4484299
1773210964640,-4398895
1773210964650,-4301645
1773210964660,-4182380
1773210964670,-4048650
1773210964680,-3893824
1773210964690,-3731275
1773210964700,-3550898
1773210964710,-3361898
1773210964720,-3154124
1773210964730,-2932757
1773210964740,-2692376
1773210964750,-2447835
1773210964760,-2192175
1773210964770,-1935691
1773210964780,-1666847
1773210964790,-1392970
1773210964800,-1108669
1773210964810,-822769
1773210964820,-531046
1773210964830,-242288
1773210964840,57222
1773210964850,353468
1773210964860,654533
1773210964870,947319
1773210964880,1240127
1773210964890,1526159
1773210964900,1814278
1773210964910,2090200
1773210964920,2361222
1773210964930,2616431
1773210964940,2865794
1773210964950,3098013
1773210964960,3319429
1773210964970,3522636
1773210964980,3717729
1773210964990,3889663
1773210965000,4050273
1773210965010,4187926
1773210965020,4314586
1773210965030,4422373
1773210965040,4524236
1773210965050,4590415
1773210965060,4629972
1773210965070,4656057
1773210965080,4682469
1773210965090,4693827
1773210965100,4687778
1773210965110,4655828
1773210965120,4604248
1773210965130,4528980
1773210965140,4447399
1773210965150,4347342
1773210965160,4233828
1773210965170,4094985
1773210965180,3943009
1773210965190,3772795
1773210965200,3591706
1773210965210,3390880
1773210965220,3182129
1773210965230,2954900
1773210965240,2721968
1773210965250,2472337
1773210965260,2218489
1773210965270,1953140
1773210965280,1684121
1773210965290,1402898
1773210965300,1120547
1773210965310,829075
1773210965320,539636
1773210965330,242571
1773210965340,-53243
1773210965350,-355313
1773210965360,-651532
1773210965370,-947774
1773210965380,-1231794
1773210965390,-1516346
1773210965400,-1794875
1773210965410,-2072808
1773210965420,-2340009
1773210965430,-2601214
1773210965440,-2840880
1773210965450,-3070074
1773210965460,-3281478
1773210965470,-3486212
1773210965480,-3672932
1773210965490,-3850264
1773210965500,-4005098
1773210965510,-4145483
1773210965520,-4267297
1773210965530,-4371704
1773210965540,-4447781
1773210965550,-4518788
1773210965560,-4579174
1773210965570,-4625211
1773210965580,-4640687
1773210965590,-4641410
1773210965600,-4625066
1773210965610,-4596816
1773210965620,-4546264
1773210965630,-4482597
1773210965640,-4397985
1773210965650,-4302645
1773210965660,-4185040
1773210965670,-4053138
1773210965680,-3898599
1773210965690,-3734289
1773210965700,-3552274
1773210965710,-3361318
1773210965720,-3153791
1773210965730,-2932764
1773210965740,-2692519
1773210965750,-2448498
1773210965760,-2192506
1773210965770,-1936071
1773210965780,-1668907
1773210965790,-1394594
1773210965800,-1109278
1773210965810,-822794
1773210965820,-528741
1773210965830,-239767
1773210965840,57578
1773210965850,353818
1773210965860,652613
1773210965870,945017
1773210965880,1236715
1773210965890,1522220
1773210965900,1810809
1773210965910,2088320
1773210965920,2361238
1773210965930,2617473
1773210965940,2864666
1773210965950,3095245
1773210965960,3317102
1773210965970,3522336
1773210965980,3717543
1773210965990,3891402
1773210966000,4052262
1773210966010,4187660
1773210966020,4311531
1773210966030,4419688
1773210966040,4522965
1773210966050,4591006
1773210966060,4630329
1773210966070,4655812
1773210966080,4681183
1773210966090,4694262
1773210966100,4691222
1773210966110,4660164
1773210966120,4607392
1773210966130,4531682
1773210966140,4447661
1773210966150,4344747
1773210966160,4230098
1773210966170,4092749
1773210966180,3941312
1773210966190,3771435
1773210966200,3590625
1773210966210,3392445
1773210966220,3184500
1773210966230,2956953
1773210966240,2721226
1773210966250,2470392
1773210966260,2216923
1773210966270,1953807
1773210966280,1687491
1773210966290,1406921
1773210966300,1122037
1773210966310,827183
1773210966320,537361
1773210966330,243370
1773210966340,-51316
1773210966350,-351229
1773210966360,-648241
1773210966370,-946153
1773210966380,-1232546
1773210966390,-1518067
1773210966400,-1795870
1773210966410,-2073356
1773210966420,-2339631
1773210966430,-2600452
1773210966440,-2840950
1773210966450,-3070574
1773210966460,-3284875
1773210966470,-3490305
1773210966480,-3675286
1773210966490,-3848309
1773210966500,-4002522
1773210966510,-4144796
1773210966520,-4267814
1773210966530,-4372130
1773210966540,-4446690
1773210966550,-4516544
1773210966560,-4579598
1773210966570,-4626617
1773210966580,-4641913
1773210966590,-4643514
1773210966600,-4626611
1773210966610,-4598365
1773210966620,-4547051
1773210966630,-4480952
1773210966640,-4397129
1773210966650,-4300807
1773210966660,-4184415
1773210966670,-4052044
1773210966680,-3898134
1773210966690,-3734654
1773210966700,-3554143
1773210966710,-3362274
1773210966720,-3152179
1773210966730,-2931151
1773210966740,-2693623
1773210966750,-2451184
1773210966760,-2195158
1773210966770,-1934706
1773210966780,-1665099
1773210966790,-1392034
1773210966800,-1109749
1773210966810,-824053
1773210966820,-531013
1773210966830,-242582
1773210966840,55456
1773210966850,353926
1773210966860,654142
