"Time","Z"
1773211365000,-1818026
1773211365010,-1960705
1773211365020,-2095937
1773211365030,-2233024
1773211365040,-2362139
1773211365050,-2490187
1773211365060,-2607455
1773211365070,-2724891
1773211365080,-2831047
1773211365090,-2935880
1773211365100,-3030096
1773211365110,-3121278
1773211365120,-3196227
1773211365130,-3269377
1773211365140,-3335351
1773211365150,-3403155
1773211365160,-3460650
1773211365170,-3515408
1773211365180,-3555637
1773211365190,-3593734
1773211365200,-3620258
1773211365210,-3644819
1773211365220,-3660103
1773211365230,-3668108
1773211365240,-3664433
1773211365250,-3664547
1773211365260,-3656145
1773211365270,-3650705
1773211365280,-3612116
1773211365290,-3564461
1773211365300,-3516676
1773211365310,-3480541
1773211365320,-3441341
1773211365330,-3394232
1773211365340,-3327662
1773211365350,-3255366
1773211365360,-3172226
1773211365370,-3093101
1773211365380,-3006026
1773211365390,-2916950
1773211365400,-2814952
1773211365410,-2713222
1773211365420,-2603562
1773211365430,-2492948
1773211365440,-2370178
1773211365450,-2245439
1773211365460,-2111547
1773211365470,-1980038
1773211365480,-1839742
1773211365490,-1701407
1773211365500,-1556478
1773211365510,-1414594
1773211365520,-1261954
1773211365530,-1110222
1773211365540,-951952
1773211365550,-797174
1773211365560,-635149
1773211365570,-471961
1773211365580,-303185
1773211365590,-143547
1773211365600,20606
1773211365610,178785
1773211365620,343264
1773211365630,504021
1773211365640,669412
1773211365650,827047
1773211365660,987388
1773211365670,1143266
1773211365680,1305957
1773211365690,1461129
1773211365700,1618379
1773211365710,1766077
1773211365720,1916476
1773211365730,2057619
1773211365740,2197376
1773211365750,2328794
1773211365760,2462311
1773211365770,2584522
1773211365780,2705524
1773211365790,2817805
1773211365800,2928176
1773211365810,3024940
1773211365820,3119805
1773211365830,3202700
1773211365840,3285397
1773211365850,3358148
1773211365860,3430836
1773211365870,3491563
1773211365880,3547426
1773211365890,3590308
1773211365900,3631854
1773211365910,3660655
1773211365920,3690131
1773211365930,3708012
1773211365940,3725598
1773211365950,3726148
1773211365960,3719247
1773211365970,3708085
1773211365980,3706756
1773211365990,3685875
1773211366000,3646156
1773211366010,3598879
1773211366020,3563780
1773211366030,3523030
1773211366040,3470627
1773211366050,3402031
1773211366060,3330917
1773211366070,3250284
1773211366080,3172179
1773211366090,3085476
1773211366100,2997003
1773211366110,2894937
1773211366120,2792104
1773211366130,2680925
1773211366140,2569195
1773211366150,2447195
1773211366160,2324899
1773211366170,2193259
1773211366180,2062839
1773211366190,1921012
1773211366200,1781008
1773211366210,1635742
1773211366220,1492722
1773211366230,1340498
1773211366240,1189309
1773211366250,1030649
1773211366260,875733
1773211366270,715007
1773211366280,553816
1773211366290,386065
1773211366300,223788
1773211366310,57470
1773211366320,-101246
1773211366330,-264433
1773211366340,-425475
1773211366350,-592453
1773211366360,-753730
1773211366370,-917221
1773211366380,-1075097
1773211366390,-1236437
1773211366400,-1389286
1773211366410,-1545812
1773211366420,-1693266
1773211366430,-1840372
1773211366440,-1978874
1773211366450,-2117298
1773211366460,-2248177
1773211366470,-2381528
1773211366480,-2503938
1773211366490,-2625587
1773211366500,-2736776
1773211366510,-2847525
1773211366520,-2945317
1773211366530,-3041103
1773211366540,-3123981
1773211366550,-3205678
1773211366560,-3277900
1773211366570,-3350639
1773211366580,-3411612
1773211366590,-3469621
1773211366600,-3516583
1773211366610,-3562131
1773211366620,-3595085
1773211366630,-3625905
1773211366640,-3645782
1773211366650,-3663929
1773211366660,-3664452
1773211366670,-3664379
1773211366680,-3659401
1773211366690,-3647636
1773211366700,-3622859
1773211366710,-3600765
1773211366720,-3570214
1773211366730,-3534471
1773211366740,-3486928
1773211366750,-3441932
1773211366760,-3381524
1773211366770,-3315785
1773211366780,-3238612
1773211366790,-3163402
1773211366800,-3080220
1773211366810,-2997382
1773211366820,-2900833
1773211366830,-2803796
1773211366840,-2696029
1773211366850,-2589796
1773211366860,-2474720
1773211366870,-2355491
1773211366880,-2223485
1773211366890,-2095101
1773211366900,-1959067
1773211366910,-1824029
1773211366920,-1680202
1773211366930,-1539963
1773211366940,-1390376
1773211366950,-1240205
1773211366960,-1083651
1773211366970,-932161
1773211366980,-773926
1773211366990,-613613
1773211367000,-443943
1773211367010,-282205
1773211367020,-116388
1773211367030,42357
1773211367040,203805
1773211367050,362153
1773211367060,526505
1773211367070,688753
