"Time","Z"
1773211365000,1475158
1773211365010,1616307
1773211365020,1752782
1773211365030,1886389
1773211365040,2020612
1773211365050,2150558
1773211365060,2278353
1773211365070,2397138
1773211365080,2514819
1773211365090,2625241
1773211365100,2731709
1773211365110,2830795
1773211365120,2925729
1773211365130,3008686
1773211365140,3086214
1773211365150,3157692
1773211365160,3229690
1773211365170,3294969
1773211365180,3356040
1773211365190,3407185
1773211365200,3451417
1773211365210,3487351
1773211365220,3518720
1773211365230,3543964
1773211365240,3562004
1773211365250,3567284
1773211365260,3573446
1773211365270,3573420
1773211365280,3575522
1773211365290,3556567
1773211365300,3516444
1773211365310,3474832
1773211365320,3441930
1773211365330,3410980
1773211365340,3375018
1773211365350,3320427
1773211365360,3257235
1773211365370,3183107
1773211365380,3110845
1773211365390,3032865
1773211365400,2951852
1773211365410,2860714
1773211365420,2765120
1773211365430,2665166
1773211365440,2562175
1773211365450,2449710
1773211365460,2332622
1773211365470,2207852
1773211365480,2082834
1773211365490,1952016
1773211365500,1818948
1773211365510,1682460
1773211365520,1546946
1773211365530,1404063
1773211365540,1257642
1773211365550,1105924
1773211365560,957793
1773211365570,804728
1773211365580,648743
1773211365590,487137
1773211365600,330673
1773211365610,173520
1773211365620,20512
1773211365630,-136179
1773211365640,-292123
1773211365650,-450100
1773211365660,-602980
1773211365670,-756917
1773211365680,-907660
1773211365690,-1062354
1773211365700,-1213540
1773211365710,-1364515
1773211365720,-1508939
1773211365730,-1654069
1773211365740,-1793861
1773211365750,-1929596
1773211365760,-2058605
1773211365770,-2189320
1773211365780,-2312185
1773211365790,-2432219
1773211365800,-2545510
1773211365810,-2655979
1773211365820,-2756444
1773211365830,-2853407
1773211365840,-2940666
1773211365850,-3024944
1773211365860,-3103161
1773211365870,-3178896
1773211365880,-3247036
1773211365890,-3309163
1773211365900,-3359473
1773211365910,-3407594
1773211365920,-3445281
1773211365930,-3480972
1773211365940,-3507642
1773211365950,-3532313
1773211365960,-3545648
1773211365970,-3547640
1773211365980,-3543308
1773211365990,-3546188
1773211366000,-3542350
1773211366010,-3514832
1773211366020,-3476235
1773211366030,-3444696
1773211366040,-3414948
1773211366050,-3375416
1773211366060,-3318271
1773211366070,-3257275
1773211366080,-3186929
1773211366090,-3116952
1773211366100,-3040405
1773211366110,-2961494
1773211366120,-2871644
1773211366130,-2776969
1773211366140,-2676092
1773211366150,-2572776
1773211366160,-2460968
1773211366170,-2347976
1773211366180,-2225880
1773211366190,-2103020
1773211366200,-1972094
1773211366210,-1839323
1773211366220,-1702180
1773211366230,-1566417
1773211366240,-1423231
1773211366250,-1278364
1773211366260,-1128548
1773211366270,-980224
1773211366280,-827540
1773211366290,-673902
1773211366300,-513697
1773211366310,-356800
1773211366320,-197940
1773211366330,-44018
1773211366340,112071
1773211366350,267120
1773211366360,426324
1773211366370,581778
1773211366380,739872
1773211366390,892098
1773211366400,1046505
1773211366410,1196017
1773211366420,1346605
1773211366430,1492094
1773211366440,1636145
1773211366450,1771540
1773211366460,1907126
1773211366470,2037111
1773211366480,2168942
1773211366490,2293371
1773211366500,2414158
1773211366510,2528369
1773211366520,2640867
1773211366530,2743533
1773211366540,2842381
1773211366550,2930998
1773211366560,3016674
1773211366570,3094986
1773211366580,3171826
1773211366590,3240639
1773211366600,3305145
1773211366610,3359672
1773211366620,3413124
1773211366630,3454773
1773211366640,3492756
1773211366650,3521428
1773211366660,3548534
1773211366670,3560831
1773211366680,3567394
1773211366690,3570300
1773211366700,3569739
1773211366710,3553805
1773211366720,3538405
1773211366730,3517055
1773211366740,3491086
1773211366750,3452443
1773211366760,3414741
1773211366770,3366423
1773211366780,3309944
1773211366790,3241757
1773211366800,3173315
1773211366810,3099616
1773211366820,3024526
1773211366830,2938435
1773211366840,2849128
1773211366850,2750599
1773211366860,2651487
1773211366870,2545504
1773211366880,2435588
1773211366890,2312894
1773211366900,2191021
1773211366910,2063672
1773211366920,1935743
1773211366930,1799707
1773211366940,1665851
1773211366950,1525590
1773211366960,1382969
1773211366970,1232257
1773211366980,1085288
1773211366990,936053
1773211367000,784463
1773211367010,622396
1773211367020,465498
1773211367030,305765
1773211367040,151162
1773211367050,-3155
1773211367060,-156067
1773211367070,-313462
1773211367080,-468621
1773211367090,-626593
1773211367100,-777725
1773211367110,-932439
1773211367120,-1083936
1773211367130,-1237721
1773211367140,-1383103
1773211367150,-1528359
1773211367160,-1669812
1773211367170,-1812634
1773211367180,-1946252
1773211367190,-2080228
1773211367200,-2206601
1773211367210,-2330178
1773211367220,-2445728
1773211367230,-2561856
1773211367240,-2668487
1773211367250,-2772029
1773211367260,-2865337
1773211367270,-2954171
1773211367280,-3035348
1773211367290,-3114973
1773211367300,-3184243
1773211367310,-3254810
1773211367320,-3313523
1773211367330,-3368473
1773211367340,-3412951
1773211367350,-3453156
1773211367360,-3484644
1773211367370,-3511796
1773211367380,-3530934
1773211367390,-3546041
1773211367400,-3546156
1773211367410,-3547153
1773211367420,-3546549
1773211367430,-3542848
1773211367440,-3508087
1773211367450,-3469479
1773211367460,-3434970
1773211367470,-3407554
1773211367480,-3363990
1773211367490,-3313031
1773211367500,-3252105
1773211367510,-3185898
1773211367520,-3108623
1773211367530,-3031149
1773211367540,-2945341
1773211367550,-2856742
1773211367560,-2758640
1773211367570,-2662153
1773211367580,-2557493
1773211367590,-2450442
1773211367600,-2330698
1773211367610,-2208480
1773211367620,-2079626
1773211367630,-1953097
1773211367640,-1820005
1773211367650,-1687693
1773211367660,-1547567
1773211367670,-1404914
1773211367680,-1254558
1773211367690,-1106790
1773211367700,-955506
1773211367710,-807366
1773211367720,-650778
1773211367730,-495868
1773211367740,-334694
1773211367750,-176628
1773211367760,-18925
1773211367770,133233
1773211367780,290271
1773211367790,444938
1773211367800,605317
1773211367810,760768
1773211367820,916531
1773211367830,1066129
1773211367840,1218895
1773211367850,1365941
1773211367860,1514377
1773211367870,1651827
1773211367880,1787733
1773211367890,1919781
1773211367900,2056702
1773211367910,2187710
1773211367920,2316636
1773211367930,2431758
1773211367940,2545972
1773211367950,2650322
1773211367960,2754844
1773211367970,2851741
1773211367980,2946678
1773211367990,3028510
1773211368000,3108497
1773211368010,3178977
1773211368020,3249492
1773211368030,3309780
1773211368040,3368756
1773211368050,3417301
1773211368060,3460764
1773211368070,3494413
1773211368080,3526261
1773211368090,3549590
1773211368100,3563705
1773211368110,3565203
1773211368120,3571452
1773211368130,3564579
1773211368140,3540828
1773211368150,3525430
1773211368160,3526433
1773211368170,3500618
1773211368180,3457406
1773211368190,3407220
1773211368200,3356768
1773211368210,3295068
1773211368220,3232831
1773211368230,3161576
1773211368240,3091479
1773211368250,3009680
1773211368260,2925313
1773211368270,2831900
1773211368280,2738458
1773211368290,2636938
1773211368300,2533220
1773211368310,2417746
1773211368320,2299466
1773211368330,2170720
1773211368340,2045160
1773211368350,1913489
1773211368360,1783709
1773211368370,1646320
1773211368380,1506310
1773211368390,1357659
1773211368400,1212639
1773211368410,1063971
1773211368420,918777
1773211368430,762391
1773211368440,605072
1773211368450,443278
1773211368460,285996
1773211368470,127292
1773211368480,-24491
1773211368490,-182335
1773211368500,-336675
1773211368510,-494779
1773211368520,-646542
1773211368530,-800553
1773211368540,-950541
1773211368550,-1106502
1773211368560,-1255581
1773211368570,-1406139
1773211368580,-1549618
