"Time","Z"
1773212039000,4741813
1773212039010,1167196
1773212039020,-3471569
1773212039030,-4875690
1773212039040,-1738868
1773212039050,3029634
1773212039060,5000194
1773212039070,2344854
1773212039080,-2472417
1773212039090,-4976401
1773212039100,-2853126
1773212039110,1940716
1773212039120,4941648
1773212039130,3375074
1773212039140,-1315362
1773212039150,-4758780
1773212039160,-3780456
1773212039170,735093
1773212039180,4575652
1773212039190,4191095
1773212039200,-80003
1773212039210,-4249801
1773212039220,-4472935
1773212039230,-516422
1773212039240,3925582
1773212039250,4747171
1773212039260,1168468
1773212039270,-3467565
1773212039280,-4878412
1773212039290,-1736382
1773212039300,3030569
1773212039310,5004296
1773212039320,2342256
1773212039330,-2472137
1773212039340,-4979725
1773212039350,-2848895
1773212039360,1943292
1773212039370,4946432
1773212039380,3371144
1773212039390,-1317983
1773212039400,-4764661
1773212039410,-3778848
1773212039420,734682
1773212039430,4579115
1773212039440,4191190
1773212039450,-76639
1773212039460,-4250405
1773212039470,-4469741
1773212039480,-519302
1773212039490,3925687
1773212039500,4743914
1773212039510,1168743
1773212039520,-3471012
1773212039530,-4876188
1773212039540,-1739595
1773212039550,3030167
1773212039560,5002020
1773212039570,2346777
1773212039580,-2471715
1773212039590,-4976647
1773212039600,-2851822
1773212039610,1944758
1773212039620,4945898
1773212039630,3376493
1773212039640,-1317952
1773212039650,-4763449
1773212039660,-3782733
1773212039670,735875
1773212039680,4577397
1773212039690,4194373
1773212039700,-78424
1773212039710,-4249315
1773212039720,-4472217
1773212039730,-515524
1773212039740,3927509
1773212039750,4748904
1773212039760,1167725
1773212039770,-3470232
1773212039780,-4880623
1773212039790,-1736976
1773212039800,3029919
1773212039810,5003771
1773212039820,2340680
1773212039830,-2474954
1773212039840,-4980842
1773212039850,-2848276
1773212039860,1945417
1773212039870,4950079
1773212039880,3375577
1773212039890,-1315792
1773212039900,-4765834
1773212039910,-3781478
1773212039920,734324
1773212039930,4580215
1773212039940,4191535
1773212039950,-77817
1773212039960,-4252273
1773212039970,-4471844
1773212039980,-520238
1773212039990,3926713
1773212040000,4745257
1773212040010,1170297
1773212040020,-3470106
1773212040030,-4877015
1773212040040,-1739176
1773212040050,3031249
1773212040060,5003415
1773212040070,2346161
1773212040080,-2473167
1773212040090,-4977626
1773212040100,-2851379
1773212040110,1945525
1773212040120,4945762
1773212040130,3375451
1773212040140,-1319862
1773212040150,-4764517
1773212040160,-3783194
1773212040170,737478
1773212040180,4579276
1773212040190,4194434
1773212040200,-79378
1773212040210,-4250679
1773212040220,-4473294
1773212040230,-516208
1773212040240,3927770
1773212040250,4749617
1773212040260,1167467
1773212040270,-3472033
1773212040280,-4882253
1773212040290,-1736785
1773212040300,3032202
1773212040310,5007071
1773212040320,2342777
1773212040330,-2474564
1773212040340,-4982583
1773212040350,-2849419
1773212040360,1943880
1773212040370,4947154
1773212040380,3372150
1773212040390,-1318875
1773212040400,-4766982
1773212040410,-3780771
1773212040420,736835
1773212040430,4582704
1773212040440,4193075
1773212040450,-78250
1773212040460,-4253536
1773212040470,-4470744
1773212040480,-516689
1773212040490,3931214
1773212040500,4748282
1773212040510,1168194
1773212040520,-3475821
1773212040530,-4882306
1773212040540,-1742131
1773212040550,3031508
1773212040560,5005221
1773212040570,2347292
1773212040580,-2474569
1773212040590,-4979644
1773212040600,-2852212
1773212040610,1945668
1773212040620,4947258
1773212040630,3376927
1773212040640,-1317716
1773212040650,-4763771
1773212040660,-3784301
1773212040670,735183
1773212040680,4578048
1773212040690,4194470
1773212040700,-79689
1773212040710,-4252062
1773212040720,-4474888
1773212040730,-516080
1773212040740,3928210
1773212040750,4749464
1773212040760,1166831
1773212040770,-3471886
1773212040780,-4882028
1773212040790,-1735750
1773212040800,3033552
1773212040810,5007214
1773212040820,2342719
1773212040830,-2475338
1773212040840,-4983854
1773212040850,-2851885
1773212040860,1942845
1773212040870,4948869
1773212040880,3374501
1773212040890,-1316726
1773212040900,-4765570
1773212040910,-3779612
1773212040920,736011
1773212040930,4580687
1773212040940,4190549
1773212040950,-80354
1773212040960,-4254433
1773212040970,-4472276
1773212040980,-517441
1773212040990,3930550
1773212041000,4748366
1773212041010,1171113
1773212041020,-3472055
1773212041030,-4881147
1773212041040,-1742690
1773212041050,3030752
1773212041060,5004330
1773212041070,2346765
1773212041080,-2474155
1773212041090,-4979319
1773212041100,-2851637
1773212041110,1946450
1773212041120,4947365
1773212041130,3376171
1773212041140,-1320324
1773212041150,-4767291
1773212041160,-3785681
1773212041170,737359
1773212041180,4579916
1773212041190,4194090
1773212041200,-81039
1773212041210,-4252218
1773212041220,-4473666
1773212041230,-515892
1773212041240,3928109
1773212041250,4749339
1773212041260,1166060
1773212041270,-3473457
1773212041280,-4883976
1773212041290,-1736708
1773212041300,3033702
1773212041310,5009416
1773212041320,2344732
1773212041330,-2474787
1773212041340,-4983818
1773212041350,-2851979
1773212041360,1943387
1773212041370,4949089
1773212041380,3373167
