Direction,Folder,CSV_File,Sensor_Key,Channel,Nominal_Frequency_Hz,Duration_s,Samples,Mean,Std,RMS_centered,Peak,Valley,Peak_to_Peak,FFT_Amplitude_at_Nominal,FFT_Phase_deg_at_Nominal,FFT_Sensitivity_at_Nominal,FFT_Stats_CSV,FFT_Report_TXT,FFT_Report_PNG
vertical,2.27 0.1hz,cc_8d_a2_e8_cb_60-data-2026-03-17 10_32_07.csv,cb_60,Z,0.1,139.01,13901,16245.915473706928,53454.25566830408,53454.25566830408,120535.0,-78851.0,199386.0,74950.08493898429,-179.85321027277126,14990.016987796858,cb_60_cc_8d_a2_e8_cb_60-data-2026-03-17_10_32_07_fft_stats.csv,cb_60_cc_8d_a2_e8_cb_60-data-2026-03-17_10_32_07_fft_report.txt,cb_60_cc_8d_a2_e8_cb_60-data-2026-03-17_10_32_07_fft_chart.png
vertical,2.30 0.2hz,cc_8d_a2_e8_cb_60-data-2026-03-17 10_45_31.csv,cb_60,Z,0.2,72.01,7201,16098.38855714484,335675.57103228674,335675.57103228674,501834.0,-502527.0,1004361.0,428626.3569802699,-87.6687819994227,85725.27139605398,cb_60_cc_8d_a2_e8_cb_60-data-2026-03-17_10_45_31_fft_stats.csv,cb_60_cc_8d_a2_e8_cb_60-data-2026-03-17_10_45_31_fft_report.txt,cb_60_cc_8d_a2_e8_cb_60-data-2026-03-17_10_45_31_fft_chart.png
vertical,2.32 0.5hz,cc_8d_a2_e8_cb_60-data-2026-03-17 10_47_07.csv,cb_60,Z,0.5,58.01,5801,16199.084123426996,1852180.769509391,1852180.769509391,2658313.0,-2588383.0,5246696.0,2619087.4931771914,15.75865414391574,523817.49863543827,cb_60_cc_8d_a2_e8_cb_60-data-2026-03-17_10_47_07_fft_stats.csv,cb_60_cc_8d_a2_e8_cb_60-data-2026-03-17_10_47_07_fft_report.txt,cb_60_cc_8d_a2_e8_cb_60-data-2026-03-17_10_47_07_fft_chart.png
vertical,2.40 0.6hz,cc_8d_a2_e8_cb_60-data-2026-03-17 10_48_36.csv,cb_60,Z,0.6,70.01,7001,16119.97071846879,2274388.7407547776,2274388.7407547776,3241535.0,-3182954.0,6424489.0,3215955.871032211,-15.686756599602136,643191.1742064422,cb_60_cc_8d_a2_e8_cb_60-data-2026-03-17_10_48_36_fft_stats.csv,cb_60_cc_8d_a2_e8_cb_60-data-2026-03-17_10_48_36_fft_report.txt,cb_60_cc_8d_a2_e8_cb_60-data-2026-03-17_10_48_36_fft_chart.png
vertical,2.42 0.7hz,cc_8d_a2_e8_cb_60-data-2026-03-17 10_51_56.csv,cb_60,Z,0.7,90.01,9001,15519.212087545828,2620378.468453429,2620378.468453429,3726756.0,-3665071.0,7391827.0,3705477.0361973536,120.3562692838181,741095.4072394707,cb_60_cc_8d_a2_e8_cb_60-data-2026-03-17_10_51_56_fft_stats.csv,cb_60_cc_8d_a2_e8_cb_60-data-2026-03-17_10_51_56_fft_report.txt,cb_60_cc_8d_a2_e8_cb_60-data-2026-03-17_10_51_56_fft_chart.png
vertical,2.34 0.8hz,cc_8d_a2_e8_cb_60-data-2026-03-17 10_54_06.csv,cb_60,Z,0.8,65.4,6540,16521.26391437309,2904997.0775546324,2904997.0775546324,4139360.0,-4065536.0,8204896.0,3849703.043227392,89.14559792481276,769940.6086454784,cb_60_cc_8d_a2_e8_cb_60-data-2026-03-17_10_54_06_fft_stats.csv,cb_60_cc_8d_a2_e8_cb_60-data-2026-03-17_10_54_06_fft_report.txt,cb_60_cc_8d_a2_e8_cb_60-data-2026-03-17_10_54_06_fft_chart.png
vertical,2.36 1hz,cc_8d_a2_e8_cb_60-data-2026-03-17 11_17_40.csv,cb_60,Z,1.0,68.9,6890,11509.037155297532,3317629.388575011,3317629.388575011,4698395.0,-4658999.0,9357394.0,4660602.473778068,-49.55043757607083,932120.4947556136,cb_60_cc_8d_a2_e8_cb_60-data-2026-03-17_11_17_40_fft_stats.csv,cb_60_cc_8d_a2_e8_cb_60-data-2026-03-17_11_17_40_fft_report.txt,cb_60_cc_8d_a2_e8_cb_60-data-2026-03-17_11_17_40_fft_chart.png
vertical,2.46 1.5hz,cc_8d_a2_e8_cb_60-data-2026-03-17 11_00_06.csv,cb_60,Z,1.5,151.01,15101,8835.395735381762,3854998.8919489398,3854998.8919489398,5468494.0,-5444905.0,10913399.0,4670028.798284317,-23.31728980484306,934005.7596568635,cb_60_cc_8d_a2_e8_cb_60-data-2026-03-17_11_00_06_fft_stats.csv,cb_60_cc_8d_a2_e8_cb_60-data-2026-03-17_11_00_06_fft_report.txt,cb_60_cc_8d_a2_e8_cb_60-data-2026-03-17_11_00_06_fft_chart.png
vertical,2.49 2hz,cc_8d_a2_e8_cb_60-data-2026-03-17 11_06_32.csv,cb_60,Z,2.0,14.01,1401,19425.96716630978,4096730.0868082116,4096730.0868082116,5787469.0,-5744793.0,11532262.0,5790743.572709633,-22.239841469441952,1158148.7145419265,cb_60_cc_8d_a2_e8_cb_60-data-2026-03-17_11_06_32_fft_stats.csv,cb_60_cc_8d_a2_e8_cb_60-data-2026-03-17_11_06_32_fft_report.txt,cb_60_cc_8d_a2_e8_cb_60-data-2026-03-17_11_06_32_fft_chart.png
vertical,2.50 4hz,cc_8d_a2_e8_cb_60-data-2026-03-17 11_08_16.csv,cb_60,Z,4.0,39.01,3901,14308.406306075365,4338526.039652677,4338526.039652677,6136607.0,-6094584.0,12231191.0,6128571.467727433,-147.86876531437292,1225714.2935454866,cb_60_cc_8d_a2_e8_cb_60-data-2026-03-17_11_08_16_fft_stats.csv,cb_60_cc_8d_a2_e8_cb_60-data-2026-03-17_11_08_16_fft_report.txt,cb_60_cc_8d_a2_e8_cb_60-data-2026-03-17_11_08_16_fft_chart.png
vertical,2.51 8hz,cc_8d_a2_e8_cb_60-data-2026-03-17 11_09_37.csv,cb_60,Z,8.0,103.01,10301,16088.016697408018,4281779.658853136,4281779.658853136,6023415.0,-6036562.0,12059977.0,6031552.569019982,64.03009576816127,1206310.5138039964,cb_60_cc_8d_a2_e8_cb_60-data-2026-03-17_11_09_37_fft_stats.csv,cb_60_cc_8d_a2_e8_cb_60-data-2026-03-17_11_09_37_fft_report.txt,cb_60_cc_8d_a2_e8_cb_60-data-2026-03-17_11_09_37_fft_chart.png
vertical,2.53 16hz,cc_8d_a2_e8_cb_60-data-2026-03-17 11_10_56.csv,cb_60,Z,16.0,19.01,1901,13999.377169910573,3731306.228523107,3731306.228523107,5294313.0,-5239273.0,10533586.0,5191509.339655953,157.1690868605017,1038301.8679311906,cb_60_cc_8d_a2_e8_cb_60-data-2026-03-17_11_10_56_fft_stats.csv,cb_60_cc_8d_a2_e8_cb_60-data-2026-03-17_11_10_56_fft_report.txt,cb_60_cc_8d_a2_e8_cb_60-data-2026-03-17_11_10_56_fft_chart.png
