Direction,Folder,CSV_File,Sensor_Key,Channel,Nominal_Frequency_Hz,Duration_s,Samples,Mean,Std,RMS_centered,Peak,Valley,Peak_to_Peak,FFT_Amplitude_at_Nominal,FFT_Phase_deg_at_Nominal,FFT_Sensitivity_at_Nominal,FFT_Stats_CSV,FFT_Report_TXT,FFT_Report_PNG
vertical,2.27 0.1hz,cc_8d_a2_e8_db_a8-data-2026-03-17 10_32_15.csv,db_a8,Z,0.1,139.01,13901,15891.910294223437,55210.52702154129,55210.52702154129,111836.0,-85535.0,197371.0,77490.76304713101,-2.50575875312198,15498.152609426203,db_a8_cc_8d_a2_e8_db_a8-data-2026-03-17_10_32_15_fft_stats.csv,db_a8_cc_8d_a2_e8_db_a8-data-2026-03-17_10_32_15_fft_report.txt,db_a8_cc_8d_a2_e8_db_a8-data-2026-03-17_10_32_15_fft_chart.png
vertical,2.30 0.2hz,cc_8d_a2_e8_db_a8-data-2026-03-17 10_45_37.csv,db_a8,Z,0.2,72.01,7201,16918.117205943618,341007.45160126744,341007.45160126744,531562.0,-475164.0,1006726.0,435459.11922925874,87.50367219209447,87091.82384585174,db_a8_cc_8d_a2_e8_db_a8-data-2026-03-17_10_45_37_fft_stats.csv,db_a8_cc_8d_a2_e8_db_a8-data-2026-03-17_10_45_37_fft_report.txt,db_a8_cc_8d_a2_e8_db_a8-data-2026-03-17_10_45_37_fft_chart.png
vertical,2.32 0.5hz,cc_8d_a2_e8_db_a8-data-2026-03-17 10_47_12.csv,db_a8,Z,0.5,58.01,5801,15985.931218755388,1803618.8363879577,1803618.8363879577,2571617.0,-2541332.0,5112949.0,2550371.633338649,-173.36993145667742,510074.32666772977,db_a8_cc_8d_a2_e8_db_a8-data-2026-03-17_10_47_12_fft_stats.csv,db_a8_cc_8d_a2_e8_db_a8-data-2026-03-17_10_47_12_fft_report.txt,db_a8_cc_8d_a2_e8_db_a8-data-2026-03-17_10_47_12_fft_chart.png
vertical,2.40 0.6hz,cc_8d_a2_e8_db_a8-data-2026-03-17 10_48_42.csv,db_a8,Z,0.6,70.01,7001,16059.51792601057,2199380.5701628188,2199380.5701628188,3117634.0,-3095903.0,6213537.0,3109880.463297927,159.10559212739452,621976.0926595854,db_a8_cc_8d_a2_e8_db_a8-data-2026-03-17_10_48_42_fft_stats.csv,db_a8_cc_8d_a2_e8_db_a8-data-2026-03-17_10_48_42_fft_report.txt,db_a8_cc_8d_a2_e8_db_a8-data-2026-03-17_10_48_42_fft_chart.png
vertical,2.42 0.7hz,cc_8d_a2_e8_db_a8-data-2026-03-17 10_52_02.csv,db_a8,Z,0.7,90.01,9001,16629.08543495167,2521488.023086696,2521488.023086696,3571699.0,-3546000.0,7117699.0,3565647.971587551,-64.97672226562256,713129.5943175101,db_a8_cc_8d_a2_e8_db_a8-data-2026-03-17_10_52_02_fft_stats.csv,db_a8_cc_8d_a2_e8_db_a8-data-2026-03-17_10_52_02_fft_report.txt,db_a8_cc_8d_a2_e8_db_a8-data-2026-03-17_10_52_02_fft_chart.png
vertical,2.34 0.8hz,cc_8d_a2_e8_db_a8-data-2026-03-17 10_54_11.csv,db_a8,Z,0.8,65.32,6532,8855.953766074708,2782238.2006732174,2782238.2006732174,3940442.0,-3921772.0,7862214.0,3774508.7631842173,-114.68774096669358,754901.7526368435,db_a8_cc_8d_a2_e8_db_a8-data-2026-03-17_10_54_11_fft_stats.csv,db_a8_cc_8d_a2_e8_db_a8-data-2026-03-17_10_54_11_fft_report.txt,db_a8_cc_8d_a2_e8_db_a8-data-2026-03-17_10_54_11_fft_chart.png
vertical,2.36 1hz,cc_8d_a2_e8_db_a8-data-2026-03-17 11_17_35.csv,db_a8,Z,1.0,68.98,6898,16890.514207016528,3161091.619944412,3161091.619944412,4478016.0,-4450831.0,8928847.0,4468648.517782378,112.5644771181045,893729.7035564756,db_a8_cc_8d_a2_e8_db_a8-data-2026-03-17_11_17_35_fft_stats.csv,db_a8_cc_8d_a2_e8_db_a8-data-2026-03-17_11_17_35_fft_report.txt,db_a8_cc_8d_a2_e8_db_a8-data-2026-03-17_11_17_35_fft_chart.png
vertical,2.46 1.5hz,cc_8d_a2_e8_db_a8-data-2026-03-17 11_00_12.csv,db_a8,Z,1.5,151.01,15101,20628.372558108735,3665529.1555993264,3665529.1555993264,5220988.0,-5181585.0,10402573.0,4443494.138486244,127.57706483777609,888698.8276972488,db_a8_cc_8d_a2_e8_db_a8-data-2026-03-17_11_00_12_fft_stats.csv,db_a8_cc_8d_a2_e8_db_a8-data-2026-03-17_11_00_12_fft_report.txt,db_a8_cc_8d_a2_e8_db_a8-data-2026-03-17_11_00_12_fft_chart.png
vertical,2.49 2hz,cc_8d_a2_e8_db_a8-data-2026-03-17 11_06_39.csv,db_a8,Z,2.0,14.01,1401,14684.282655246252,3888407.8295752965,3888407.8295752965,5506899.0,-5482830.0,10989729.0,5498659.173554975,120.00330007286983,1099731.834710995,db_a8_cc_8d_a2_e8_db_a8-data-2026-03-17_11_06_39_fft_stats.csv,db_a8_cc_8d_a2_e8_db_a8-data-2026-03-17_11_06_39_fft_report.txt,db_a8_cc_8d_a2_e8_db_a8-data-2026-03-17_11_06_39_fft_chart.png
vertical,2.50 4hz,cc_8d_a2_e8_db_a8-data-2026-03-17 11_08_22.csv,db_a8,Z,4.0,39.01,3901,17467.551140733147,4115384.191431918,4115384.191431918,5805380.0,-5812616.0,11617996.0,5813684.916057222,-41.79558173376332,1162736.9832114442,db_a8_cc_8d_a2_e8_db_a8-data-2026-03-17_11_08_22_fft_stats.csv,db_a8_cc_8d_a2_e8_db_a8-data-2026-03-17_11_08_22_fft_report.txt,db_a8_cc_8d_a2_e8_db_a8-data-2026-03-17_11_08_22_fft_chart.png
